ts,year,round,games_concluded,games_total,complete,overall_n,overall_hit,overall_mae,overall_bias,shown_n,shown_hit,shown_mae,shown_bias,value_n,value_hit,value_mae,value_bias,value_win,value_roi,value_profit
2026-06-09T01:04:26+00:00,2026,13,7,7,True,304,0.8783,3.56,0.093,176,0.875,3.927,-0.008,52.0,0.8077,3.308,-1.142,0.8077,-0.0306,-1.59
2026-06-22T01:58:45+00:00,2026,14,6,6,True,252,0.877,3.627,-0.014,140,0.85,4.264,-0.367,33.0,0.697,4.597,-1.421,0.697,-0.1673,-5.52
2026-06-22T01:58:51+00:00,2026,15,7,7,True,303,0.9043,3.837,0.688,172,0.8779,4.447,0.745,37.0,0.7297,5.416,-1.038,0.7297,-0.1278,-4.73
2026-06-29T05:58:15+00:00,2026,16,6,6,True,269,0.8662,3.563,-0.107,152,0.8158,4.191,-0.578,34.0,0.7059,4.229,-1.176,0.7059,-0.1468,-4.99
2026-07-13T12:01:45+00:00,2026,17,9,9,True,394,0.8706,3.675,-0.293,220,0.8318,4.099,-0.781,44.0,0.7955,3.489,-2.202,0.7955,-0.0332,-1.46
2026-07-24T04:52:56+00:00,2026,18,9,9,True,387,0.8553,3.915,-0.175,219,0.8311,4.18,-0.579,,,,,,,
2026-07-24T04:53:07+00:00,2026,19,9,9,True,391,0.8721,3.854,0.196,215,0.8419,4.252,-0.045,,,,,,,
2026-07-24T04:47:14+00:00,2026,20,1,9,False,46,0.8696,3.665,-0.196,28,0.8571,3.821,-0.9,,,,,,,
2026-07-27T07:03:24+00:00,2026,20,9,9,True,393,0.9084,3.857,0.382,216,0.8935,4.286,0.084
2026-08-12T08:27:52+00:00,2026,21,9,9,True,394,0.8655,3.703,-0.304,215,0.814,4.192,-0.932
2026-08-12T08:28:33+00:00,2026,22,9,9,True,390,0.8462,4.0,-0.395,213,0.8122,4.544,-1.263
2026-08-12T09:20:16+00:00,2026,23,0,9,False
2026-08-17T07:02:28+00:00,2026,23,9,9,True,396,0.8965,3.675,0.294,206,0.8738,4.228,0.133,21,0.8571,4.238,0.324,0.8571,0.0043,0.09
2026-08-20T11:58:55+00:00,2026,23,9,9,True,396,0.8965,3.675,0.294,206,0.8738,4.228,0.133,21,0.8571,4.238,0.324,0.8571,0.0043,0.09
